ticket_code,sku,qty,unit_price,discount_percent,tax_code,uom
T-2026-0116-001,ALM-MILK-1L,1,1750,0,VAT10,Unit
T-2026-0116-001,BAG-PLASTIC,1,100,0,,Unit
T-2026-0116-002,PEPSI-330,2,500,0,VAT10,Unit
T-2026-0116-002,CHIPS-LEMON,1,500,0,VAT10,Unit
T-2026-0116-003,BREAD-LOAF,1,1000,0,VAT10,Unit
T-2026-0116-003,KDD-YOG-170,1,500,0,VAT10,Unit
T-2026-0116-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0116-004,SEVEN-UP-330,1,500,0,VAT10,Unit
T-2026-0116-004,CAKE-SLICE,1,600,0,VAT10,Unit
T-2026-0117-001,INDO-VEG,2,350,0,VAT10,Unit
T-2026-0117-001,BISCUIT-OREO,1,500,0,VAT10,Unit
T-2026-0117-002,INDO-40,2,350,0,VAT10,Unit
T-2026-0117-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0117-003,CHIPS-CHILI,1,500,0,VAT10,Unit
T-2026-0117-003,CANDY-MENTOS,1,500,0,VAT10,Unit
T-2026-0117-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0117-004,SAMOON-BAG,1,1500,0,VAT10,Unit
T-2026-0117-004,BALADNA-LABN-1L,1,1250,0,VAT10,Unit
T-2026-0118-001,MIRINDA-330,1,500,0,VAT10,Unit
T-2026-0118-001,CROISSANT-CHOC,1,750,0,VAT10,Unit
T-2026-0118-002,SOAP-DOVE,1,1600,0,VAT10,Unit
T-2026-0118-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0118-003,CHOCO-GALAXY,1,1000,0,VAT10,Unit
T-2026-0118-003,PEPSI-DIET-330,1,500,0,VAT10,Unit
T-2026-0118-004,KDD-CHOCO-180,2,450,0,VAT10,Unit
T-2026-0118-004,CHIPS-OMAN,1,300,0,VAT10,Unit
T-2026-0119-001,ALM-MILK-1L,1,1750,0,VAT10,Unit
T-2026-0119-001,BAG-PLASTIC,1,100,0,,Unit
T-2026-0119-002,PEPSI-330,2,500,0,VAT10,Unit
T-2026-0119-002,CHIPS-LEMON,1,500,0,VAT10,Unit
T-2026-0119-003,BREAD-LOAF,1,1000,0,VAT10,Unit
T-2026-0119-003,KDD-YOG-170,1,500,0,VAT10,Unit
T-2026-0119-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0119-004,SEVEN-UP-330,1,500,0,VAT10,Unit
T-2026-0119-004,CAKE-SLICE,1,600,0,VAT10,Unit
T-2026-0120-001,INDO-VEG,2,350,0,VAT10,Unit
T-2026-0120-001,BISCUIT-OREO,1,500,0,VAT10,Unit
T-2026-0120-002,INDO-40,2,350,0,VAT10,Unit
T-2026-0120-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0120-003,CHIPS-CHILI,1,500,0,VAT10,Unit
T-2026-0120-003,CANDY-MENTOS,1,500,0,VAT10,Unit
T-2026-0120-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0120-004,SAMOON-BAG,1,1500,0,VAT10,Unit
T-2026-0120-004,BALADNA-LABN-1L,1,1250,0,VAT10,Unit
T-2026-0121-001,MIRINDA-330,1,500,0,VAT10,Unit
T-2026-0121-001,CROISSANT-CHOC,1,750,0,VAT10,Unit
T-2026-0121-002,SOAP-DOVE,1,1600,0,VAT10,Unit
T-2026-0121-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0121-003,CHOCO-GALAXY,1,1000,0,VAT10,Unit
T-2026-0121-003,PEPSI-DIET-330,1,500,0,VAT10,Unit
T-2026-0121-004,KDD-CHOCO-180,2,450,0,VAT10,Unit
T-2026-0121-004,CHIPS-OMAN,1,300,0,VAT10,Unit
T-2026-0122-001,ALM-MILK-1L,1,1750,0,VAT10,Unit
T-2026-0122-001,BAG-PLASTIC,1,100,0,,Unit
T-2026-0122-002,PEPSI-330,2,500,0,VAT10,Unit
T-2026-0122-002,CHIPS-LEMON,1,500,0,VAT10,Unit
T-2026-0122-003,BREAD-LOAF,1,1000,0,VAT10,Unit
T-2026-0122-003,KDD-YOG-170,1,500,0,VAT10,Unit
T-2026-0122-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0122-004,SEVEN-UP-330,1,500,0,VAT10,Unit
T-2026-0122-004,CAKE-SLICE,1,600,0,VAT10,Unit
T-2026-0123-001,INDO-VEG,2,350,0,VAT10,Unit
T-2026-0123-001,BISCUIT-OREO,1,500,0,VAT10,Unit
T-2026-0123-002,INDO-40,2,350,0,VAT10,Unit
T-2026-0123-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0123-003,CHIPS-CHILI,1,500,0,VAT10,Unit
T-2026-0123-003,CANDY-MENTOS,1,500,0,VAT10,Unit
T-2026-0123-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0123-004,SAMOON-BAG,1,1500,0,VAT10,Unit
T-2026-0123-004,BALADNA-LABN-1L,1,1250,0,VAT10,Unit
T-2026-0124-001,MIRINDA-330,1,500,0,VAT10,Unit
T-2026-0124-001,CROISSANT-CHOC,1,750,0,VAT10,Unit
T-2026-0124-002,SOAP-DOVE,1,1600,0,VAT10,Unit
T-2026-0124-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0124-003,CHOCO-GALAXY,1,1000,0,VAT10,Unit
T-2026-0124-003,PEPSI-DIET-330,1,500,0,VAT10,Unit
T-2026-0124-004,KDD-CHOCO-180,2,450,0,VAT10,Unit
T-2026-0124-004,CHIPS-OMAN,1,300,0,VAT10,Unit
T-2026-0125-001,ALM-MILK-1L,1,1750,0,VAT10,Unit
T-2026-0125-001,BAG-PLASTIC,1,100,0,,Unit
T-2026-0125-002,PEPSI-330,2,500,0,VAT10,Unit
T-2026-0125-002,CHIPS-LEMON,1,500,0,VAT10,Unit
T-2026-0125-003,BREAD-LOAF,1,1000,0,VAT10,Unit
T-2026-0125-003,KDD-YOG-170,1,500,0,VAT10,Unit
T-2026-0125-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0125-004,SEVEN-UP-330,1,500,0,VAT10,Unit
T-2026-0125-004,CAKE-SLICE,1,600,0,VAT10,Unit
T-2026-0126-001,INDO-VEG,2,350,0,VAT10,Unit
T-2026-0126-001,BISCUIT-OREO,1,500,0,VAT10,Unit
T-2026-0126-002,INDO-40,2,350,0,VAT10,Unit
T-2026-0126-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0126-003,CHIPS-CHILI,1,500,0,VAT10,Unit
T-2026-0126-003,CANDY-MENTOS,1,500,0,VAT10,Unit
T-2026-0126-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0126-004,SAMOON-BAG,1,1500,0,VAT10,Unit
T-2026-0126-004,BALADNA-LABN-1L,1,1250,0,VAT10,Unit
T-2026-0127-001,MIRINDA-330,1,500,0,VAT10,Unit
T-2026-0127-001,CROISSANT-CHOC,1,750,0,VAT10,Unit
T-2026-0127-002,SOAP-DOVE,1,1600,0,VAT10,Unit
T-2026-0127-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0127-003,CHOCO-GALAXY,1,1000,0,VAT10,Unit
T-2026-0127-003,PEPSI-DIET-330,1,500,0,VAT10,Unit
T-2026-0127-004,KDD-CHOCO-180,2,450,0,VAT10,Unit
T-2026-0127-004,CHIPS-OMAN,1,300,0,VAT10,Unit
T-2026-0128-001,ALM-MILK-1L,1,1750,0,VAT10,Unit
T-2026-0128-001,BAG-PLASTIC,1,100,0,,Unit
T-2026-0128-002,PEPSI-330,2,500,0,VAT10,Unit
T-2026-0128-002,CHIPS-LEMON,1,500,0,VAT10,Unit
T-2026-0128-003,BREAD-LOAF,1,1000,0,VAT10,Unit
T-2026-0128-003,KDD-YOG-170,1,500,0,VAT10,Unit
T-2026-0128-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0128-004,SEVEN-UP-330,1,500,0,VAT10,Unit
T-2026-0128-004,CAKE-SLICE,1,600,0,VAT10,Unit
T-2026-0129-001,INDO-VEG,2,350,0,VAT10,Unit
T-2026-0129-001,BISCUIT-OREO,1,500,0,VAT10,Unit
T-2026-0129-002,INDO-40,2,350,0,VAT10,Unit
T-2026-0129-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0129-003,CHIPS-CHILI,1,500,0,VAT10,Unit
T-2026-0129-003,CANDY-MENTOS,1,500,0,VAT10,Unit
T-2026-0129-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0129-004,SAMOON-BAG,1,1500,0,VAT10,Unit
T-2026-0129-004,BALADNA-LABN-1L,1,1250,0,VAT10,Unit
T-2026-0130-001,MIRINDA-330,1,500,0,VAT10,Unit
T-2026-0130-001,CROISSANT-CHOC,1,750,0,VAT10,Unit
T-2026-0130-002,SOAP-DOVE,1,1600,0,VAT10,Unit
T-2026-0130-002,BAG-PLASTIC,1,100,0,,Unit
T-2026-0130-003,CHOCO-GALAXY,1,1000,0,VAT10,Unit
T-2026-0130-003,PEPSI-DIET-330,1,500,0,VAT10,Unit
T-2026-0130-004,KDD-CHOCO-180,2,450,0,VAT10,Unit
T-2026-0130-004,CHIPS-OMAN,1,300,0,VAT10,Unit
T-2026-0131-001,ALM-MILK-1L,1,1750,0,VAT10,Unit
T-2026-0131-001,BAG-PLASTIC,1,100,0,,Unit
T-2026-0131-002,PEPSI-330,2,500,0,VAT10,Unit
T-2026-0131-002,CHIPS-LEMON,1,500,0,VAT10,Unit
T-2026-0131-003,BREAD-LOAF,1,1000,0,VAT10,Unit
T-2026-0131-003,KDD-YOG-170,1,500,0,VAT10,Unit
T-2026-0131-003,BAG-PLASTIC,1,100,0,,Unit
T-2026-0131-004,SEVEN-UP-330,1,500,0,VAT10,Unit
T-2026-0131-004,CAKE-SLICE,1,600,0,VAT10,Unit
