sku,name,barcode,category_code,uom,type,cost,list_price,purchase_ok,sale_ok,preferred_vendor_code,description
CHIPS-CHILI,Lays Potato Chips Chili 45g,6281002002345,SNACKS,Unit,STOCKABLE,400,500,true,true,V-SNACK,Spicy chili chips
CHIPS-OMAN,Chips Oman 15g,6291003001234,SNACKS,Unit,STOCKABLE,200,300,true,true,V-SNACK,Classic spicy chips
BISCUIT-OREO,Oreo Cookie Pack 38g,7622210123456,SNACKS,Unit,STOCKABLE,350,500,true,true,V-SNACK,Chocolate sandwich cookies
BISCUIT-PARLE,Parle-G Glucose Biscuits 100g,8901063012345,SNACKS,Unit,STOCKABLE,250,400,true,true,V-SNACK,Classic glucose biscuits
CHOCO-GALAXY,Galaxy Smooth Milk Chocolate 40g,5000159123456,SNACKS,Unit,STOCKABLE,750,1000,true,true,V-SNACK,Milk chocolate bar
CHOCO-SNICKERS,Snickers Bar 50g,5000159234567,SNACKS,Unit,STOCKABLE,750,1000,true,true,V-SNACK,Chocolate bar with peanuts
WAFERS-TIFFANY,Tiffany Delights Wafer 90g,6291004001234,SNACKS,Unit,STOCKABLE,500,750,true,true,V-SNACK,Crispy cream wafers
CANDY-MENTOS,Mentos Mint Roll 37.5g,8723400123456,SNACKS,Unit,STOCKABLE,300,500,true,true,V-SNACK,Chewy mint roll
POPCOM-BUTTER,Microwave Popcorn Butter 100g,,SNACKS,Unit,STOCKABLE,750,1000,true,true,V-SNACK,Easy microwave popcorn
FROZEN-CHICKEN,Al-Watania Frozen Whole Chicken 1000g,6281103001234,FROZEN,Unit,STOCKABLE,3800,4500,true,true,V-FROZEN,Frozen whole chicken
FROZEN-FRIES,Americana French Fries 1kg,6281104001234,FROZEN,Unit,STOCKABLE,2500,3200,true,true,V-FROZEN,Crispy potato fries pack
FROZEN-NUGGETS,Americana Chicken Nuggets 400g,6281104002345,FROZEN,Unit,STOCKABLE,3000,3750,true,true,V-FROZEN,Breaded chicken nuggets
FROZEN-BURGER,Beef Burger Patties 10 pack,6281104003456,FROZEN,Unit,STOCKABLE,4500,5500,true,true,V-FROZEN,Frozen beef patties
FROZEN-VEG,Mixed Vegetables 450g,6281104004567,FROZEN,Unit,STOCKABLE,1200,1600,true,true,V-FROZEN,Peas carrots and corn mix
TIDE-1KG,Tide Original Washing Powder 1kg,8001090123456,CLEANING,Unit,STOCKABLE,4500,5750,true,true,V-CLEAN,Laundry washing powder
FAIRY-750ML,Fairy Dishwashing Liquid 750ml,5410076123456,CLEANING,Unit,STOCKABLE,2200,2800,true,true,V-CLEAN,Lemon dishwashing liquid
DETTOL-500,Dettol Antiseptic Disinfectant 500ml,5011417123456,CLEANING,Unit,STOCKABLE,4000,5000,true,true,V-CLEAN,Surface and skin disinfectant
CLOROX-1L,Clorox Bleach 1L,6291005001234,CLEANING,Unit,STOCKABLE,1200,1600,true,true,V-CLEAN,Standard household bleach
SPONGE-SCOUR,Kitchen Sponge Scourer 3 pack,,CLEANING,Unit,STOCKABLE,750,1000,true,true,V-CLEAN,Scouring kitchen sponges
TRASH-BAG,Heavy Duty Trash Bags 30 pcs,,CLEANING,Unit,STOCKABLE,1500,2000,true,true,V-CLEAN,Large garbage bags roll
SOAP-DOVE,Dove Beauty Cream Bar Soap 135g,8712561123456,PERSONAL,Unit,STOCKABLE,1250,1600,true,true,V-PERS,Moisturizing beauty soap
SHAMPOO-CLEAR,Clear Men Anti-Dandruff Shampoo 400ml,5900998123456,PERSONAL,Unit,STOCKABLE,4500,5500,true,true,V-PERS,Scalp care shampoo
TOOTHPASTE-COL,Colgate Total Toothpaste 125ml,8718951123456,PERSONAL,Unit,STOCKABLE,2500,3250,true,true,V-PERS,Fluoride protection toothpaste
TOOTHBRUSH-2P,Colgate Toothbrush Twin Pack,,PERSONAL,Unit,STOCKABLE,1500,2000,true,true,V-PERS,Medium bristle toothbrushes
DEO-AXE,Axe Body Spray Dark Temptation 150ml,8710522123456,PERSONAL,Unit,STOCKABLE,3500,4500,true,true,V-PERS,Fragrance body spray
RAZOR-GILLETTE,Gillette Blue II Plus Razors 5 pack,7702018123456,PERSONAL,Unit,STOCKABLE,2500,3200,true,true,V-PERS,Disposable shaving razors
DIAPERS-PAMP-3,Pampers Baby-Dry Diapers Size 3 58s,8001840123456,BABY,Unit,STOCKABLE,14000,17500,true,true,V-BABY,Infant disposable diapers medium
WIPES-JOHNSON,Johnson Baby Wipes Sensitive 56s,3574661234567,BABY,Unit,STOCKABLE,2000,2600,true,true,V-BABY,Gentle cleaning baby wipes
BABY-OIL-200,Johnson Baby Oil 200ml,3574662345678,BABY,Unit,STOCKABLE,3500,4500,true,true,V-BABY,Moisturizing skin oil
BABY-POWDER,Johnson Baby Powder 200g,3574663456789,BABY,Unit,STOCKABLE,3000,3800,true,true,V-BABY,Soothing body powder
FOIL-ALUM,Aluminium Food Wrap Roll 10m,,HOUSEHOLD,Unit,STOCKABLE,2000,2600,true,true,V-HOUSE,Kitchen baking foil
CLING-FILM,Plastic Cling Film Roll 30m,,HOUSEHOLD,Unit,STOCKABLE,1500,2000,true,true,V-HOUSE,Food wrapping film
BATTERY-AA,Duracell AA Batteries 4 pack,5000394123456,HOUSEHOLD,Unit,STOCKABLE,3000,3800,true,true,V-HOUSE,Alkaline power batteries
LIGHT-BULB-LED,LED Light Bulb 9W E27,,HOUSEHOLD,Unit,STOCKABLE,2000,2600,true,true,V-HOUSE,Energy saving led bulb
CIG-MARL-RED,Marlboro Red Cigarettes Carton Pack,5000210123456,CIG,Unit,STOCKABLE,35000,40000,true,true,V-CIG,Premium red cigarettes
CIG-ROTH-BLUE,Rothmans Blue Cigarettes Pack,5000210234567,CIG,Unit,STOCKABLE,25000,30000,true,true,V-CIG,Smooth filter cigarettes
BAG-PLASTIC,Plastic carry bag,,SERVICE,Unit,SERVICE,0,100,false,true,,POS add-on
DELIVERY,Local delivery fee,,SERVICE,Unit,SERVICE,0,5000,false,true,,B2B delivery
